Function;Loop; N; CUDA Time (ms);Thrust Time (ms);New Time (ms)
1;1;1000000000;1173;1982;26981
1;1;100000000;138;345;198
1;1;10000000;11;19;12
1;1;1000000;1;3;1
1;1;100000;0;0;0
2;1;1000000000;1053;1977;20424
2;1;100000000;218;302;198
2;1;10000000;10;22;12
2;1;1000000;1;2;1
2;1;100000;0;0;0
3;1;1000000000;1073;1978;20167
3;1;100000000;208;346;197
3;1;10000000;10;21;12
3;1;1000000;1;3;1
3;1;100000;0;0;0
1;2;1000000000;1079;1977;22873
1;2;100000000;138;318;121
1;2;10000000;10;22;12
1;2;1000000;1;3;1
1;2;100000;0;0;0
2;2;1000000000;1320;1976;23177
2;2;100000000;155;309;199
2;2;10000000;12;21;12
2;2;1000000;1;2;2
2;2;100000;0;0;0
3;2;1000000000;1084;1975;17910
3;2;100000000;199;312;194
3;2;10000000;11;22;12
3;2;1000000;1;3;1
3;2;100000;0;0;0
1;3;1000000000;1045;1973;18504
1;3;100000000;208;275;207
1;3;10000000;9;22;21
1;3;1000000;1;3;2
1;3;100000;0;0;0
2;3;1000000000;1038;1969;17931
2;3;100000000;199;313;174
2;3;10000000;11;23;12
2;3;1000000;1;2;1
2;3;100000;1;0;0
3;3;1000000000;1035;1974;16526
3;3;100000000;185;330;220
3;3;10000000;10;20;22
3;3;1000000;1;2;3
3;3;100000;0;0;0
1;4;1000000000;1318;1966;14273
1;4;100000000;205;202;196
1;4;10000000;12;21;12
1;4;1000000;1;3;2
1;4;100000;0;0;0
2;4;1000000000;1065;1972;19856
2;4;100000000;168;323;133
2;4;10000000;9;19;20
2;4;1000000;1;3;2
2;4;100000;1;1;1
3;4;1000000000;1066;2001;36668
3;4;100000000;159;361;199
3;4;10000000;11;21;12
3;4;1000000;1;3;2
3;4;100000;0;0;0
1;5;1000000000;1057;1984;18962
1;5;100000000;197;265;156
1;5;10000000;11;22;12
1;5;1000000;2;2;1
1;5;100000;0;0;0
2;5;1000000000;1275;1993;21013
2;5;100000000;158;369;207
2;5;10000000;11;22;12
2;5;1000000;1;2;2
2;5;100000;0;0;0
3;5;1000000000;1112;1981;17271
3;5;100000000;173;252;141
3;5;10000000;12;22;12
3;5;1000000;1;3;1
3;5;100000;0;0;0
1;6;1000000000;1067;1978;19907
1;6;100000000;203;308;200
1;6;10000000;11;21;11
1;6;1000000;1;3;1
1;6;100000;0;0;0
2;6;1000000000;1099;1980;17739
2;6;100000000;220;204;206
2;6;10000000;12;21;12
2;6;1000000;2;2;1
2;6;100000;0;0;0
3;6;1000000000;1023;1981;18331
3;6;100000000;195;200;216
3;6;10000000;9;20;20
3;6;1000000;1;2;2
3;6;100000;0;0;0
1;7;1000000000;1294;1983;17913
1;7;100000000;215;204;201
1;7;10000000;11;22;11
1;7;1000000;1;2;1
1;7;100000;0;0;0
2;7;1000000000;1038;1977;18344
2;7;100000000;192;317;198
2;7;10000000;12;22;12
2;7;1000000;1;2;1
2;7;100000;0;0;0
3;7;1000000000;1061;1978;22080
3;7;100000000;212;203;211
3;7;10000000;12;21;12
3;7;1000000;1;3;1
3;7;100000;0;0;0
1;8;1000000000;1055;1980;22703
1;8;100000000;187;332;190
1;8;10000000;11;21;12
1;8;1000000;1;2;1
1;8;100000;0;0;0
2;8;1000000000;1062;1976;21610
2;8;100000000;230;324;207
2;8;10000000;10;22;12
2;8;1000000;1;2;1
2;8;100000;0;0;0
3;8;1000000000;1328;1977;19233
3;8;100000000;208;348;193
3;8;10000000;12;21;12
3;8;1000000;1;2;1
3;8;100000;0;0;0
1;9;1000000000;1044;1974;21067
1;9;100000000;206;340;180
1;9;10000000;11;22;12
1;9;1000000;1;3;1
1;9;100000;0;0;0
2;9;1000000000;1024;1974;16429
2;9;100000000;149;256;206
2;9;10000000;13;21;15
2;9;1000000;2;2;2
2;9;100000;0;0;0
3;9;1000000000;1056;1979;19051
3;9;100000000;192;316;216
3;9;10000000;12;21;12
3;9;1000000;1;3;1
3;9;100000;0;0;0
1;10;1000000000;1079;1974;23292
1;10;100000000;203;338;194
1;10;10000000;11;21;12
1;10;1000000;1;2;1
1;10;100000;0;0;0
2;10;1000000000;1275;1975;17426
2;10;100000000;206;334;151
2;10;10000000;11;22;12
2;10;1000000;1;2;2
2;10;100000;0;0;0
3;10;1000000000;1025;1973;22291
3;10;100000000;142;375;179
3;10;10000000;11;22;12
3;10;1000000;1;2;1
3;10;100000;0;0;0
