Function;Loop; N; CUDA Time (ms);Thrust Time (ms);New Time (ms)
1;1;1000000000;1454;2679;2679
1;1;100000000;129;394;74
1;1;10000000;9;30;9
1;1;1000000;2;3;1
1;1;100000;0;1;0
1;1;10000;1;1;0
2;1;1000000000;1008;2507;3206
2;1;100000000;151;273;73
2;1;10000000;10;28;8
2;1;1000000;1;4;1
2;1;100000;0;1;0
2;1;10000;0;1;0
3;1;1000000000;1009;2585;972
3;1;100000000;121;298;74
3;1;10000000;9;27;8
3;1;1000000;1;3;1
3;1;100000;0;1;0
3;1;10000;0;0;0
5;2;1000000000;1007;2583;993
5;2;100000000;118;254;74
5;2;10000000;9;28;8
5;2;1000000;1;4;1
5;2;100000;0;1;0
5;2;10000;1;0;0
6;2;1000000000;1008;2603;996
6;2;100000000;125;254;74
6;2;10000000;10;27;8
6;2;1000000;1;3;1
6;2;100000;0;1;0
6;2;10000;0;0;0
7;2;1000000000;1008;2591;1025
7;2;100000000;126;282;75
7;2;10000000;9;29;8
7;2;1000000;1;4;1
7;2;100000;0;1;0
7;2;10000;0;1;0
5;3;1000000000;997;2649;998
5;3;100000000;127;335;77
5;3;10000000;9;29;8
5;3;1000000;1;3;1
5;3;100000;0;1;0
5;3;10000;0;1;0
6;3;1000000000;1173;2513;1045
6;3;100000000;125;257;72
6;3;10000000;11;28;8
6;3;1000000;1;3;1
6;3;100000;0;0;0
6;3;10000;0;0;0
7;3;1000000000;1066;2647;1077
7;3;100000000;149;256;76
7;3;10000000;9;29;8
7;3;1000000;1;3;1
7;3;100000;0;1;0
7;3;10000;0;0;0
5;4;1000000000;1012;2643;883
5;4;100000000;120;255;79
5;4;10000000;9;29;8
5;4;1000000;1;3;1
5;4;100000;0;1;0
5;4;10000;0;0;0
6;4;1000000000;1037;2511;1027
6;4;100000000;125;300;80
6;4;10000000;10;27;8
6;4;1000000;1;3;1
6;4;100000;0;1;0
6;4;10000;0;1;0
7;4;1000000000;1004;2552;971
7;4;100000000;113;291;74
7;4;10000000;10;27;8
7;4;1000000;1;3;1
7;4;100000;0;1;0
7;4;10000;0;0;0
5;5;1000000000;1008;2540;969
5;5;100000000;129;287;75
5;5;10000000;9;28;8
5;5;1000000;1;3;1
5;5;100000;0;1;0
5;5;10000;0;0;0
6;5;1000000000;1016;2547;988
6;5;100000000;123;284;75
6;5;10000000;10;29;8
6;5;1000000;1;3;1
6;5;100000;0;1;0
6;5;10000;0;1;0
7;5;1000000000;1004;2548;1217
7;5;100000000;126;310;74
7;5;10000000;9;29;8
7;5;1000000;1;4;1
7;5;100000;0;1;0
7;5;10000;0;1;0
5;6;1000000000;1011;2532;1048
5;6;100000000;122;265;75
5;6;10000000;9;28;8
5;6;1000000;1;3;1
5;6;100000;0;1;0
5;6;10000;0;1;0
6;6;1000000000;1012;2441;880
6;6;100000000;107;258;77
6;6;10000000;16;30;9
6;6;1000000;1;3;1
6;6;100000;0;1;0
6;6;10000;0;0;0
7;6;1000000000;1018;2576;913
7;6;100000000;114;261;74
7;6;10000000;10;28;8
7;6;1000000;1;4;1
7;6;100000;0;1;0
7;6;10000;0;1;0
5;7;1000000000;1044;2469;948
5;7;100000000;119;260;75
5;7;10000000;10;28;8
5;7;1000000;1;4;1
5;7;100000;0;1;0
5;7;10000;0;0;0
6;7;1000000000;1047;2459;935
6;7;100000000;105;253;76
6;7;10000000;10;28;8
6;7;1000000;1;3;1
6;7;100000;0;1;0
6;7;10000;0;1;0
7;7;1000000000;1030;2463;994
7;7;100000000;109;259;73
7;7;10000000;10;28;8
7;7;1000000;1;3;1
7;7;100000;0;0;0
7;7;10000;0;0;0
5;8;1000000000;1027;2471;923
5;8;100000000;107;256;76
5;8;10000000;9;28;8
5;8;1000000;1;4;1
5;8;100000;0;1;0
5;8;10000;0;1;0
6;8;1000000000;1040;2455;926
6;8;100000000;108;256;77
6;8;10000000;9;28;8
6;8;1000000;1;4;1
6;8;100000;0;1;0
6;8;10000;0;0;0
7;8;1000000000;1032;2453;919
7;8;100000000;109;258;77
7;8;10000000;9;29;8
7;8;1000000;1;3;1
7;8;100000;0;0;0
7;8;10000;0;0;0
5;9;1000000000;1017;2450;926
5;9;100000000;110;254;80
5;9;10000000;9;27;8
5;9;1000000;1;3;1
5;9;100000;0;1;0
5;9;10000;0;1;0
6;9;1000000000;1050;2449;970
6;9;100000000;107;252;74
6;9;10000000;9;27;8
6;9;1000000;1;4;1
6;9;100000;0;0;0
6;9;10000;0;1;0
7;9;1000000000;1018;2477;937
7;9;100000000;115;254;76
7;9;10000000;9;28;8
7;9;1000000;1;4;1
7;9;100000;0;1;0
7;9;10000;0;1;0
5;10;1000000000;1028;2471;982
5;10;100000000;105;256;74
5;10;10000000;9;27;8
5;10;1000000;1;4;1
5;10;100000;0;1;0
5;10;10000;0;1;0
6;10;1000000000;1029;2466;931
6;10;100000000;111;255;75
6;10;10000000;9;29;8
6;10;1000000;1;3;1
6;10;100000;0;1;0
6;10;10000;0;1;0
7;10;1000000000;1037;2452;1197
7;10;100000000;116;366;75
7;10;10000000;10;28;8
7;10;1000000;1;3;1
7;10;100000;0;1;0
7;10;10000;0;0;0
