Function;Loop; N; CUDA Time (ms);Thrust Time (ms)
1;1;1000000000;1485;2479
1;1;100000000;86;252
1;1;10000000;9;27
1;1;1000000;1;3
1;1;100000;0;1
1;1;10000;0;0
2;1;1000000000;993;2473
2;1;100000000;87;262
2;1;10000000;9;28
2;1;1000000;1;3
2;1;100000;0;0
2;1;10000;0;0
3;1;1000000000;1085;2482
3;1;100000000;87;252
3;1;10000000;9;26
3;1;1000000;1;3
3;1;100000;0;0
3;1;10000;0;0
4;1;1000000000;1039;2467
4;1;100000000;89;264
4;1;10000000;9;27
4;1;1000000;1;3
4;1;100000;0;0
4;1;10000;0;0
5;2;1000000000;1077;2467
5;2;100000000;84;251
5;2;10000000;9;27
5;2;1000000;1;3
5;2;100000;0;1
5;2;10000;0;0
6;2;1000000000;977;2448
6;2;100000000;89;265
6;2;10000000;9;27
6;2;1000000;1;3
6;2;100000;0;0
6;2;10000;0;0
7;2;1000000000;1088;2460
7;2;100000000;85;253
7;2;10000000;9;26
7;2;1000000;1;3
7;2;100000;0;1
7;2;10000;0;0
8;2;1000000000;1030;2458
8;2;100000000;93;264
8;2;10000000;10;27
8;2;1000000;1;4
8;2;100000;0;0
8;2;10000;0;0
5;3;1000000000;1073;2461
5;3;100000000;85;250
5;3;10000000;9;27
5;3;1000000;1;3
5;3;100000;0;0
5;3;10000;0;0
6;3;1000000000;998;2453
6;3;100000000;89;264
6;3;10000000;9;26
6;3;1000000;1;3
6;3;100000;0;0
6;3;10000;0;0
7;3;1000000000;1095;2469
7;3;100000000;85;250
7;3;10000000;9;27
7;3;1000000;1;3
7;3;100000;0;0
7;3;10000;0;0
8;3;1000000000;1051;2448
8;3;100000000;88;262
8;3;10000000;9;27
8;3;1000000;1;3
8;3;100000;0;1
8;3;10000;0;0
5;4;1000000000;1068;2458
5;4;100000000;85;252
5;4;10000000;9;26
5;4;1000000;1;3
5;4;100000;0;0
5;4;10000;0;0
6;4;1000000000;993;2460
6;4;100000000;90;263
6;4;10000000;9;27
6;4;1000000;1;3
6;4;100000;0;0
6;4;10000;0;0
7;4;1000000000;1088;2451
7;4;100000000;87;252
7;4;10000000;9;27
7;4;1000000;1;3
7;4;100000;0;0
7;4;10000;0;0
8;4;1000000000;1061;2447
8;4;100000000;89;263
8;4;10000000;9;26
8;4;1000000;1;3
8;4;100000;0;0
8;4;10000;0;0
5;5;1000000000;1067;2454
5;5;100000000;85;251
5;5;10000000;9;27
5;5;1000000;1;3
5;5;100000;0;0
5;5;10000;0;0
6;5;1000000000;1000;2458
6;5;100000000;89;271
6;5;10000000;9;27
6;5;1000000;1;3
6;5;100000;0;0
6;5;10000;0;0
7;5;1000000000;1081;2457
7;5;100000000;86;251
7;5;10000000;9;27
7;5;1000000;1;3
7;5;100000;0;0
7;5;10000;0;0
8;5;1000000000;1041;2446
8;5;100000000;89;262
8;5;10000000;9;26
8;5;1000000;1;3
8;5;100000;0;0
