N,Repetition,Pinned Transfer (ns),Pageable Transfer (ns),Managed Kernel (ns),Managed Prefetch+Kernel (ns)
160000,7,238600,288100,3773200,2018800
160000,8,250600,271600,3351200,2042200
160000,9,213300,283400,3314400,2021000
160000,10,233500,258600,3361100,2035400
160000,11,240800,260500,3386000,2025100
160000,12,261500,284200,3297000,2007900
160000,13,171900,306000,3342300,2019200
160000,14,187900,272500,3317000,2019600
160000,15,166500,250400,3346900,2040100
160000,16,194500,259300,3299000,2035100
160000,17,256100,268200,3352000,2042400
160000,18,254100,277300,3311300,2037000
160000,19,169600,248600,3340500,2039900
320000,0,266300,399900,6590900,4982500
320000,1,309100,438800,3864200,4176200
320000,2,227500,401500,3904700,5844000
320000,3,257700,599100,4905400,4751600
320000,4,247200,450200,6520300,5201400
320000,5,229300,452900,7079200,4748700
320000,6,270600,391600,5912500,3706500
320000,7,262100,461500,3922100,5810300
320000,8,251800,424600,6042300,4751700
320000,9,234600,426700,6531100,5215400
320000,10,237200,411000,7123300,4748800
320000,11,269800,460400,7111000,5161300
320000,12,254200,448900,7038600,4688600
320000,13,241500,420800,7106700,4899000
320000,14,230200,423300,7144800,4090200
320000,15,261200,405800,3909500,3693600
320000,16,237100,438800,3885100,4819100
320000,17,297900,472600,4562800,5929100
320000,18,231000,401800,6085000,4758700
320000,19,224200,464400,6584300,4751700
640000,0,399500,758400,9236500,6947100
640000,1,377200,738500,7186900,8962000
640000,2,362800,787400,9358900,9985000
640000,3,373700,656200,8767700,10290500
640000,4,379400,720900,9364400,11112000
640000,5,397700,748700,11856800,7027100
640000,6,368900,684400,9577600,9855300
640000,7,396500,747500,11403100,8491900
640000,8,459100,958500,7175400,10202100
640000,9,376300,694500,11430500,9604100
640000,10,385500,791900,9351200,9064100
640000,11,393900,832000,10854200,11085700
640000,12,367300,715200,10590600,8251500
640000,13,391400,800800,7652800,7956700
640000,14,390700,790900,8267100,9054100
640000,15,402200,980700,10466400,9966100
640000,16,413000,776600,10462700,9359300
640000,17,389600,743200,8245500,6986200
640000,18,473700,745000,10417800,9072800
640000,19,397100,819900,10426100,8031000
1280000,0,650400,1176900,18697700,13503900
1280000,1,644400,1473500,14851600,20359000
1280000,2,690900,1269100,17418300,13522300
1280000,3,628300,1401200,17459500,18945600
1280000,4,722900,1788500,17811100,18200800
1280000,5,659400,1338300,15176300,18114400
1280000,6,664600,1210400,20579500,19347200
1280000,7,649600,1224400,13737800,18309500
1280000,8,627300,1311300,21004900,19380500
1280000,9,646700,1225500,13728100,19412500
1280000,10,640800,1267300,17421400,17897100
1280000,11,634500,1258100,16269100,19021300
1280000,12,640300,1221200,16933900,15008600
1280000,13,647500,1207600,20017100,19074500
1280000,14,643400,1224800,14820700,20419900
1280000,15,665200,1319700,17397300,13533300
1280000,16,649400,1364400,16871900,19224900
1280000,17,648300,1243900,14839100,20859600
1280000,18,669000,1244800,13722400,18286100
1280000,19,667900,1286700,15249100,20166700
2560000,0,1245000,2573100,36000800,28180300
2560000,1,1188200,2358000,33826800,29276300
2560000,2,1131900,2340300,29501600,34607100
2560000,3,1190200,2261400,36373900,28268300
2560000,4,1185500,2456600,35926600,28003100
2560000,5,1180200,2264100,32282200,30855700
2560000,6,1136300,2220900,32258500,32748900
2560000,7,1186600,2311900,30669600,30718700
2560000,8,1186200,2264200,34858300,27255900
2560000,9,1167500,2350800,31744700,29663000
2560000,10,1173800,2227700,30164500,30206600
2560000,11,1198700,2349400,27923400,32200700
2560000,12,1271600,2316000,29627600,32002500
2560000,13,1177400,2243000,32765400,26638300
2560000,14,1178000,2305100,28122200,30950700
2560000,15,1131100,2419400,30721000,31927200
2560000,16,1189500,2298200,28613400,30184200
2560000,17,1175500,2292200,28204300,30028600
2560000,18,1184000,2317900,29241400,30033800
2560000,19,1199700,2268000,29243500,30060900
5120000,0,2169500,4524600,72789200,55898100
5120000,1,2086800,4471400,63142200,54404300
5120000,2,2129400,4411500,61614700,54985000
5120000,3,2107100,4483300,60175100,52019800
5120000,4,2147400,4613500,60198400,52993000
5120000,5,2159100,4435400,60251300,51269700
5120000,6,2138300,4662600,59352900,50250900
5120000,7,2057100,4450100,56988600,56590900
5120000,8,2061000,4458200,56248700,48164000
5120000,9,2063900,4855800,53609700,49127600
5120000,10,2162500,4504600,55037800,47258200
5120000,11,2148000,4436500,56254700,47256600
5120000,12,2117800,4487300,53504300,45837500
5120000,13,2224100,6898900,52973600,47078800
5120000,14,2083900,4448200,52476500,47076400
5120000,15,2076300,4389900,53769200,45300600
5120000,16,2168900,4966600,50904800,48475500
5120000,17,2086100,4821500,52305100,44406300
5120000,18,2161400,4379600,51407100,44385600
5120000,19,2095500,4457900,51780200,44617000
10240000,0,3690600,8797000,142273500,110020900
10240000,1,3910200,8883000,121942800,109325800
10240000,2,3898200,9476800,114589100,107597500
10240000,3,3776900,8760400,110241200,105701300
10240000,4,3742500,8711400,110253700,103859400
10240000,5,3911700,9650500,102727100,104264400
10240000,6,4197600,9474500,99737800,95349300
10240000,7,4024700,8926300,101293900,96339200
10240000,8,3822200,9581300,95184300,92732700
10240000,9,3778400,9509700,95483500,89283800
10240000,10,3756100,9263100,96314600,87959000
10240000,11,3686900,8890500,93791800,85724900
10240000,12,3772800,8774200,91615400,83990500
10240000,13,3704900,8718800,89469800,83366400
10240000,14,3617400,8563500,86484900,79880600
10240000,15,3512600,9451900,85870900,83460000
10240000,16,3725800,9115800,86798400,79873800
10240000,17,3622700,8660800,84979300,78892600
10240000,18,3640500,9386500,80787700,76850800
10240000,19,3720900,9356600,78957600,76827800
20480000,0,7298600,19056800,287000100,211785300
20480000,1,7419100,18579900,204508700,197110900
20480000,2,7450300,18310400,193761100,184737200
20480000,3,7207200,18111200,186048100,177072200
20480000,4,7089300,17809800,174683600,166150700
20480000,5,6735400,17620600,162468500,158520100
20480000,6,6760600,17695900,162759600,152224600
20480000,7,6754800,17952600,153056400,148217500
20480000,8,6602400,17857600,146447900,143539900
20480000,9,6571300,18147700,151251600,146724800
20480000,10,6761500,17788600,141411100,142295900
20480000,11,6763600,17835700,138177200,135751700
20480000,12,6687100,18411600,136423200,138417100
20480000,13,6841800,17442600,133046200,128419000
20480000,14,6676800,17506800,133481000,129058900
20480000,15,6801800,17261100,137880100,128352700
20480000,16,6788700,17368000,130250600,124176600
20480000,17,6709100,17601800,130823000,125209300
20480000,18,6713800,18032500,122073800,119385000
20480000,19,6787300,17433000,124440300,124646200
40960000,0,14346800,35340700,594419200,379711100
40960000,1,13769000,35922500,366089900,345778500
40960000,2,12930300,35438400,331293500,312860300
40960000,3,13229700,34393900,317450300,291354800
40960000,4,13058600,35536100,278923400,278110200
40960000,5,12956700,34739200,262029900,263132000
40960000,6,13070300,34626500,264826800,252978000
40960000,7,12877400,35491100,256009700,244389100
40960000,8,13108400,34936700,242327400,242351700
40960000,9,12947500,34531500,229873100,236939700
40960000,10,12908100,35620600,242162400,225528700
40960000,11,12768300,35340500,221069300,223128900
40960000,12,12956800,35397000,233189100,217963000
40960000,13,12983900,35576500,210540300,214133600
40960000,14,12842700,35922400,221612400,214200500
40960000,15,13087900,34512300,200675800,208970300
40960000,16,12870900,35301300,208305800,209175400
40960000,17,12865400,35559600,213931100,204603500
40960000,18,12969400,34980600,199115000,205898400
40960000,19,12903900,35331800,200449400,203131300
81920000,0,98781000,130901200,1183497900,680427200
81920000,1,25520800,68773300,655804800,574147900
81920000,2,25701500,68418000,594831800,511281500
81920000,3,25727300,68512300,546418400,478340600
81920000,4,25395800,67787300,499882200,459052200
81920000,5,25954000,71551200,491674000,438336300
81920000,6,25546700,69424700,473735800,427499300
81920000,7,25437500,68830100,475218700,421029500
81920000,8,25402100,68702700,456895000,407458000
81920000,9,25439700,68226600,444647200,404041400
81920000,10,25484200,68404000,421505800,402110900
81920000,11,25395500,68127800,432999300,395280100
81920000,12,25349300,68086100,425867900,397264900
81920000,13,25370500,68232500,404682300,395911800
81920000,14,25571800,68107100,426685000,394980700
81920000,15,25616000,68118900,403917700,391745300
81920000,16,25418300,68062000,419062300,390920700
81920000,17,25418600,68637800,401847700,391315900
81920000,18,25344800,68267100,425911600,393418100
81920000,19,25630000,69690000,405026000,391105300
163840000,0,266486800,144012800,2080936200,1066517300
163840000,1,50512000,135292700,1155529300,903964600
163840000,2,51928900,142840700,1128251300,880531200
163840000,3,50398400,134472200,1050841200,837964900
163840000,4,50373500,134256600,953767600,776319900
163840000,5,50489600,134741600,986338900,809303200
163840000,6,50736600,134347700,980696300,805057900
163840000,7,50379800,134633300,941317800,788605100
163840000,8,50690500,133930200,935358500,763118900
163840000,9,50515700,133869800,916448200,771228800
163840000,10,50449400,134954700,1026907000,818996500
163840000,11,50546000,135920200,977164400,791460300
163840000,12,50231700,135832000,991978300,804808600
163840000,13,50666400,135205800,977134400,804958800
163840000,14,50644400,136019000,967274700,803261100
163840000,15,50579800,134632100,923508100,766510900
163840000,16,50461400,133689100,975573900,796254700
163840000,17,50440900,139327500,968436400,801893800
163840000,18,50484100,134189400,925530800,766308400
163840000,19,50451300,134329800,980313800,799504900
327680000,0,365144200,282371600,3591188100,1526170500
327680000,1,100095300,269347300,2538877500,1541660000
327680000,2,100457000,268024400,2479957400,1541646000
327680000,3,100205700,269453300,2510046100,1549648400
327680000,4,99903700,269048300,2399745500,1517592600
327680000,5,100348100,267481900,2541900900,1544507100
327680000,6,100237800,269751400,2528531800,1547793400
327680000,7,100037600,268956600,2472641900,1527721200
327680000,8,100325500,269640700,2517272100,1535090400
327680000,9,99974600,268998900,2470482200,1532336300
327680000,10,100352800,269510400,2509735000,1542980200
327680000,11,100132000,267933700,2473544200,1544708500
327680000,12,99996400,270727300,2404409700,1522387600
327680000,13,100100100,268208900,2545366200,1539245900
327680000,14,100280600,270282900,2561167200,1554927300
327680000,15,100216200,268320200,2460320600,1536116800
327680000,16,100234200,268532300,2475253400,1539697100
327680000,17,100331700,269459200,2479141500,1537874500
327680000,18,100574800,268686600,2513701500,1546845800
327680000,19,100165100,268489900,2417194500,1523461900
